,Unnamed: 0,source_1,source_2,lon_1,lat_1,lon_2,lat_2,h_1,sigma_h1,h_2,sigma_h2,dh,sigma_dh,time_1,time_2,dt,dh_dx_1,dh_dx_2,dh_dy_1,dh_dy_2,distance_x,distance_y,window_1,window_2,rgt,spot_n,h1_arcticdem,h2_arcticdem,dh_arcticdem,distance,dem_slope,dh_minus_dem
36444,36444,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2910669,69.06563127,-151.2910513,69.06563054,205.4864502,0.071157634,205.3569336,0.037016239,-0.129516602,0.080209793,2019.468732,2019.717552,0.248820112,-0.004356563,0.00503242,-0.013234145,-0.014315944,-0.092527098,-0.619982294,3,3,1280,3,205.1115906,205.1110411,-0.00054947,0.626848713,-0.000876559,-0.128967132
36445,36445,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2911261,69.06545312,-151.2911142,69.06545255,205.4294739,0.053731464,205.2789154,0.108240098,-0.150558472,0.120842828,2019.468732,2019.717552,0.248820112,-0.002132773,-0.010705948,-0.010900039,-0.013055039,-0.071766737,-0.472705085,3,3,1280,3,204.9448836,204.9361722,-0.008711424,0.478121911,-0.018220089,-0.141847048
36446,36446,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2911858,69.06527496,-151.2911772,69.06527454,205.2801208,0.035586938,205.228775,0.108560346,-0.051345825,0.114244382,2019.468732,2019.717552,0.248820112,-0.015164316,-0.005004644,-0.009085124,-0.010508097,-0.053039777,-0.340364626,3,3,1280,3,204.893338,204.8865068,-0.00683123,0.34447249,-0.019830989,-0.044514595
36447,36447,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2912462,69.06509685,-151.2912402,69.06509653,205.0760193,0.033590626,205.1151123,0.104318485,0.039093018,0.109593232,2019.468732,2019.717552,0.248820112,-0.000798345,-0.008376479,-0.010685714,-0.01069042,-0.039344735,-0.237291936,3,3,1280,3,204.8729194,204.8713818,-0.0015376,0.240531643,-0.006392506,0.040630618
36448,36448,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2913073,69.06491878,-151.291303,69.06491854,205.2351685,0.032731999,205.1130676,0.067420751,-0.12210083,0.074946257,2019.468732,2019.717552,0.248820112,0.01056695,0.007001877,-0.011251353,-0.011793677,-0.02962358,-0.17153813,3,3,1280,3,204.7629998,204.7596164,-0.003383462,0.174077243,-0.019436556,-0.118717368
36449,36449,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2913687,69.06474069,-151.291365,69.06474048,205.2359772,0.037221421,205.208847,0.082093611,-0.027130127,0.090137646,2019.468732,2019.717552,0.248820112,-0.006032825,0.000211,-0.007128271,-0.00933979,-0.026349534,-0.146667067,3,3,1280,3,204.6892896,204.6870672,-0.00222235,0.149015189,-0.01491358,-0.024907777
36450,36450,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2914305,69.06456264,-151.2914268,69.06456242,205.1785278,0.051814888,205.1489563,0.07421831,-0.029571533,0.090515966,2019.468732,2019.717552,0.248820112,0.005768776,-0.015412092,-0.001653193,-0.007298222,-0.026992341,-0.146899868,3,3,1280,3,204.5978886,204.5975793,-0.00030929,0.149359157,-0.00207078,-0.029262243
36451,36451,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2914926,69.06438461,-151.2914882,69.06438436,205.1897125,0.087047331,205.1356659,0.089675464,-0.054046631,0.124975704,2019.468732,2019.717552,0.248820112,0.004605412,0.005305648,0.000738394,-0.006088584,-0.030381167,-0.172795714,3,3,1280,3,204.6635169,204.6570692,-0.006447692,0.175446214,-0.036750249,-0.047598939
36452,36452,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.2915529,69.06421181,-151.2915493,69.06420626,205.237381,0.055420306,205.0777283,0.222379878,-0.15965271,0.229181632,2019.468732,2019.717552,0.248820112,0.013576955,-0.01752758,0.006854632,0.002072304,-0.621806104,-0.130960673,3,3,1280,3,204.7136151,204.704329,-0.009286137,0.635447503,-0.014613539,-0.150366573
36453,36453,processed_ATL06_20190621020211_12800305_003_01_gt2l_spot3_D.h5,processed_ATL06_20190919214202_12800405_003_01_gt2l_spot4_D.h5,-151.291615,69.06403399,-151.2916101,69.06402816,205.1418152,0.039159257,204.7442169,0.159447178,-0.397598267,0.164185414,2019.468732,2019.717552,0.248820112,-0.019469172,-0.002984524,0.00745641,0.002183883,-0.654320465,-0.184735511,3,3,1280,3,204.5044541,204.4909432,-0.013510877,0.679898875,-0.019871892,-0.38408739
