lon,lat,dh,sigma_dh,h1_interp,h2_interp,time_1,time_2,dt(decimal year),dt (days),sigma_h1,sigma_h2,dh_dx_1,dh_dx_2,n_photons_1,n_photons_2
-149.1682616,69.45059788,0.187366858,0.041943571,191.0071875,191.1945544,2018.789166,2020.84721,2.058043838,751.1860008,0.013575982,0.039685713,-0.006152164,0.00387877,72,16.5
-149.0815608,69.20846592,0.128515243,0.00889301,342.3666933,342.4952085,2018.789166,2018.858971,0.069805649,25.47906183,0.004763067,0.007509915,-0.018834116,0.022996332,73,326.5
-148.8679733,68.57757789,0.219447173,0.034581194,832.6845397,832.9039868,2018.789165,2019.017556,0.228390586,83.36256396,0.009266783,0.033316448,0.030656764,0.007872386,331.5,95.5
-148.9371568,68.78511661,0.018974974,0.022142265,532.8645659,532.8835409,2018.789165,2019.187084,0.397918275,145.2401703,0.008625621,0.0203931,-0.007387976,0.018731653,190.5,38
-149.0185987,69.02560751,0.249381991,0.040929349,492.2488517,492.4982337,2018.789166,2019.187084,0.397918036,145.2400831,0.03426364,0.022387822,0.006197076,0.00733271,72.5,42
-149.1254675,69.33448737,0.28447951,0.03914901,216.8437995,217.128279,2018.789166,2019.356611,0.567445171,207.1174875,0.015587974,0.035911837,-0.007344373,0.009982993,62,33
-149.1662137,69.45037487,0.26488603,0.012281635,190.8124529,191.077339,2018.789166,2019.356611,0.567445045,207.1174415,0.006930652,0.010139262,-0.006097157,0.009402382,290.5,127
-149.1673799,69.45368637,0.276457711,0.013246831,189.1907542,189.4672119,2018.789166,2019.356611,0.567445053,207.1174443,0.003088917,0.012881658,-0.013621424,0.016647104,276.5,30.5
-149.0351077,69.07383065,-0.071023909,0.03203848,444.5147378,444.4437139,2018.789166,2019.435903,0.64673759,236.0592203,0.01028168,0.030343883,0.042743107,-0.027309929,60.5,17
-149.1680315,69.45553568,0.17407935,0.029855152,187.9388999,188.1129793,2018.789166,2019.526138,0.736972119,268.9948236,0.014546641,0.026071543,-0.004527734,0.00375821,247.5,62.5
-149.1691862,69.45879299,0.155695809,0.020843307,188.0039759,188.1596717,2018.789166,2019.526138,0.736972127,268.9948264,0.00452256,0.020346742,0.011894701,-0.002233156,214,17.5
-149.082917,69.21240634,0.219027219,0.012030822,334.5214536,334.7404809,2018.789166,2019.854251,1.065085308,388.7561373,0.010369623,0.00610013,-0.017932148,0.026627065,60,115
-149.0840291,69.21560636,0.023129902,0.013615303,328.085496,328.108626,2018.789166,2019.854251,1.065085315,388.7561401,0.009719098,0.009534968,-0.016436203,0.026017656,94,384.5
-149.1254865,69.33454105,0.085771379,0.009847168,216.8231802,216.9089516,2018.789166,2019.854251,1.065085197,388.756097,0.003607849,0.009162432,-0.006181044,0.007078881,62,354
-149.1661371,69.45015671,0.160532137,0.02201685,190.987523,191.1480551,2018.789166,2019.854251,1.065085071,388.7560511,0.011685188,0.018660067,-0.004362373,0.000853977,257.5,101.5
-149.1673204,69.45351137,-0.126909421,0.003729093,189.4595018,189.3325924,2018.789166,2019.854251,1.065085079,388.7560538,0.003275475,0.001782526,-0.015183983,0.01194631,268.5,437.5
-148.8647171,68.5677403,0.118535303,0.002220381,800.5452632,800.6637985,2018.789165,2020.012801,1.223635433,446.626933,0.001945211,0.001070629,-0.004163134,0.009936919,303.5,399.5
-148.9040037,68.68601094,0.100852501,0.004329847,561.7992882,561.9001407,2018.789165,2020.012801,1.223635305,446.6268862,0.002629095,0.003440266,-0.00013492,0.002157688,274.5,124.5
-149.0829322,69.21244956,0.417695713,0.026779264,334.4337538,334.8514495,2018.789166,2020.102789,1.313623537,479.4725911,0.022644823,0.014294789,-0.0182111,0.027586998,60,117
-149.0841094,69.21583848,0.249125454,0.028437629,327.7246823,327.9738078,2018.789166,2020.102789,1.313623545,479.4725939,0.028284633,0.002945899,-0.0079766,0.016068605,88,459.5
-149.1255468,69.33471135,0.288888079,0.009477762,216.7480029,217.036891,2018.789166,2020.102789,1.313623427,479.4725508,0.000810685,0.009443027,-0.009208324,0.002809315,56,351.5
-149.1662841,69.45057594,0.431244377,0.005157328,190.6751046,191.106349,2018.789166,2020.102789,1.313623301,479.4725049,0.004600305,0.002331356,-0.006202227,0.015419148,310,107.5
-149.1674131,69.45378451,0.276311565,0.007319134,189.062636,189.3389476,2018.789166,2020.102789,1.313623309,479.4725077,0.005306721,0.005040678,-0.010971267,0.009257179,289,460.5
-148.9532136,68.83287842,-0.083870449,0.059621733,528.1976103,528.1137398,2018.789165,2020.181865,1.392699593,508.3353514,0.027174884,0.053068604,0.022778524,0.003563623,98,13.5
-148.954295,68.83604304,0.527017535,0.009997457,527.5174621,528.0444796,2018.789165,2020.181865,1.392699601,508.3353543,0.009830181,0.001821179,-0.036231116,0.041525347,103.5,65.5
-148.8647731,68.56791291,0.24587957,0.003139911,800.5361963,800.7820759,2018.789165,2020.260941,1.471775554,537.1980773,0.003139468,5.27E-05,0.001991624,0.014885202,290,362.5
-148.9041065,68.68631557,0.105225546,0.013914771,561.7876872,561.8929127,2018.789165,2020.260941,1.471775426,537.1980304,0.012089063,0.00689024,-0.00024578,-0.001186388,238,119.5
-149.0829262,69.2124326,0.465578065,0.021210005,334.4681656,334.9337436,2018.789166,2020.350929,1.561763798,570.0437864,0.017828261,0.011489883,-0.018101644,0.029607877,60,112.5
-149.0840256,69.21559636,0.428648656,0.01051949,328.1055028,328.5341515,2018.789166,2020.350929,1.561763806,570.0437892,0.006595793,0.008194826,-0.016890258,0.026069546,94,469
-149.1254503,69.33443865,0.35942907,0.028789418,216.861232,217.220661,2018.789166,2020.350929,1.561763688,570.0437462,0.0287894,3.21E-05,-0.008004599,0.001206192,77.5,352.5
-149.1661986,69.45033197,0.328073698,0.019742215,190.8537635,191.1818372,2018.789166,2020.350929,1.561763562,570.0437002,0.00702902,0.018448521,-0.006861853,0.009193671,281.5,104
-149.1673449,69.45358316,0.39097439,0.009370822,189.344028,189.7350024,2018.789166,2020.350929,1.56176357,570.0437031,0.007692257,0.005351775,-0.015683207,0.013617839,276.5,440
-148.9532687,68.83303968,0.146920696,0.039558239,528.2916564,528.4385771,2018.789165,2020.430005,1.640839796,598.9065255,0.030658106,0.024998696,0.012672963,-0.001704193,85,67.5
-149.0349772,69.07344107,0.317987947,0.011682798,442.4465022,442.7644902,2018.789166,2020.430005,1.640839557,598.9064384,0.010713763,0.004658653,0.038560354,-0.033086023,45,88.5
-148.8647678,68.5678965,-0.300260811,0.006101507,800.5249202,800.2246594,2018.789165,2020.509081,1.719915681,627.7692234,0.005738317,0.00207367,0.000641844,0.00769372,290,132
-148.9040871,68.68625823,-0.015968133,0.008803557,561.7851279,561.7691598,2018.789165,2020.509081,1.719915552,627.7691765,0.006752318,0.005648789,-0.000965882,0.001498546,257,292.5
-149.0828499,69.21221472,0.097042975,0.009298948,334.8609999,334.9580429,2018.789166,2020.59907,1.809903872,660.6149134,0.008214532,0.00435797,-0.013124336,0.019114724,64,78.5
-149.0839737,69.21544601,0.253001877,0.045618266,328.3958899,328.6488918,2018.789166,2020.59907,1.80990388,660.6149162,0.013531473,0.043565186,-0.018518822,0.019104751,84,16.5
-149.1241784,69.33082783,-0.166915385,0.055999073,236.2603645,236.0934491,2018.789166,2020.599069,1.809903755,660.6148704,0.038281586,0.040870728,-0.025468282,-0.014589422,64.5,56
-149.1254182,69.33434773,-0.219594764,0.026709144,216.8607953,216.6412005,2018.789166,2020.599069,1.809903762,660.6148732,0.001740519,0.026652372,0.000954866,-0.008850942,77.5,73
-149.1672832,69.4534026,0.022834805,0.026729642,189.6381323,189.6609671,2018.789166,2020.599069,1.809903644,660.61483,0.007612191,0.025622808,-0.013624767,0.015339499,268.5,17
-149.0827858,69.2120307,0.185889472,0.007678644,335.0592119,335.2451014,2018.789166,2020.84721,2.058044052,751.1860792,0.007279903,0.002442251,-0.005924902,0.018805011,61.5,372.5
-149.0839313,69.21532325,0.209807189,0.020548215,328.6096746,328.8194818,2018.789166,2020.84721,2.05804406,751.186082,0.020478873,0.001686675,-0.008219704,0.010584139,84,85
-149.1253594,69.33418128,0.355629754,0.015869714,216.848399,217.2040288,2018.789166,2020.84721,2.058043942,751.1860389,0.001924168,0.015752631,-0.00088303,0.003014365,98,58
-149.1661403,69.45016596,0.175280674,0.026318497,190.9952065,191.1704872,2018.789166,2020.84721,2.058043816,751.185993,0.013449332,0.022622527,-0.006527413,-0.002743651,257.5,61.5
-149.1672852,69.45340856,0.297770254,0.047969498,189.6283459,189.9261161,2018.789166,2020.84721,2.058043824,751.1859958,0.007015703,0.047453689,-0.01371019,0.011349547,268.5,30
-149.0816125,69.44115487,0.150049997,0.066568885,194.4073776,194.5574276,2018.789166,2018.858971,0.069805419,25.47897785,0.065455674,0.012123165,-0.008925681,-0.003566769,61,107
-149.0826101,69.44402375,0.055953002,0.05159915,194.2508327,194.3067857,2018.789166,2018.858971,0.069805427,25.47898081,0.049883261,0.013195932,0.022829583,-0.037781239,62.5,376.5
-149.1235074,69.56067296,0.185480615,0.033890142,215.6332101,215.8186907,2018.789166,2018.858971,0.0698053,25.47893453,0.032741072,0.008750081,0.02663364,-0.027281387,43,112
-149.1245167,69.56353216,0.279922485,0.043881093,225.2163455,225.496268,2018.789166,2018.858971,0.069805308,25.47893749,0.043777546,0.003012776,0.025917893,-0.02595233,34.5,495
-148.7879794,68.57166662,0.150674575,0.016982593,859.8145069,859.9651815,2018.789165,2019.017556,0.228390593,83.36256643,0.001717072,0.016895566,0.000922925,0.001798297,82.5,332
-148.9367088,69.01922247,0.237972261,0.036365403,434.1919929,434.4299651,2018.789166,2019.187084,0.397918043,145.2400858,0.03440447,0.01178028,-0.02669936,0.016321281,22.5,136
-148.8246067,68.68320813,-0.02510414,0.084011274,657.0234792,656.998375,2018.789165,2019.266376,0.477210619,174.181876,0.006044537,0.083793542,-0.02112084,0.01432452,97.5,22
-149.0838687,69.44762406,0.140216293,0.025368222,193.5005617,193.640778,2018.789166,2019.356611,0.56744506,207.1174469,0.02354381,0.009446463,-0.015542696,0.008596954,39.5,87.5
-148.9953569,69.19163566,0.089085458,0.022501837,426.8412751,426.9303605,2018.789166,2019.435903,0.646737485,236.059182,0.018329779,0.013051891,0.006244639,-0.011158058,60,68.5
-148.9965299,69.19504383,0.41265713,0.124363223,428.9694737,429.3821308,2018.789166,2019.435903,0.646737492,236.0591847,0.120066596,0.032407155,0.034378872,-0.024334578,36.5,12.5
-149.1178273,69.54455705,0.103511958,0.001385142,138.0715602,138.1750722,2018.789166,2019.784446,0.995280204,363.2772745,0.00085013,0.001093571,0.007311115,0.00807529,45.5,30
-149.1061623,69.51132774,0.021191381,0.037413097,155.0828495,155.1040408,2018.789166,2019.784446,0.995280215,363.2772785,0.036352938,0.008843286,-0.004895847,-0.007646419,22.5,215.5
-149.083813,69.44746483,-0.087448207,0.021562767,193.6557094,193.5682612,2018.789166,2019.854251,1.065085086,388.7560564,0.019079769,0.010045664,0.000200798,0.005886008,36,99
-149.0850037,69.45088048,0.339971739,0.005260836,188.9466268,189.2865986,2018.789166,2019.854251,1.065085094,388.7560592,0.003608986,0.003827743,-0.005570534,0.009603586,34,347.5
-148.9952874,69.191433,0.104739898,0.044006438,426.638553,426.7432929,2018.789166,2019.933543,1.144377595,417.6978221,0.011282765,0.042535465,0.009561173,-0.017758727,55,35.5
-148.9964738,69.19487905,0.39030997,0.142074075,428.6068543,428.9971643,2018.789166,2019.933543,1.144377602,417.6978248,0.141228001,0.015482065,-0.009798205,-0.015898064,36.5,97
-148.8245466,68.68302383,0.1004788,0.015613905,657.4113513,657.5118301,2018.789165,2020.012801,1.22363532,446.6268916,0.00307869,0.015307374,-0.017179703,0.005028748,97.5,123.5
-148.8649318,68.8050052,0.328493752,0.070453494,461.3037587,461.6322525,2018.789165,2020.012801,1.223635199,446.6268475,0.070437062,0.00152154,-0.006558763,0.009202944,20,111.5
-148.8660527,68.80839356,0.319592409,0.044278011,455.1950878,455.5146802,2018.789165,2020.012801,1.223635206,446.6268502,0.035245094,0.026801597,0.037615763,-0.045117843,23.5,392.5
-149.0838899,69.44768514,0.167901189,0.020694307,193.4096767,193.5775779,2018.789166,2020.102789,1.313623316,479.4725103,0.001693924,0.020624862,-0.013681704,0.007858043,39.5,107.5
-148.9952634,69.19136302,0.193614695,0.031462536,426.510223,426.7038377,2018.789166,2020.181865,1.392699249,508.335226,0.018271999,0.025612989,0.015178513,-0.01942147,55,16
-148.9964368,69.19477068,0.443022128,0.024447834,428.5690706,429.0120927,2018.789166,2020.181865,1.392699257,508.3352287,0.02023436,0.013721051,0.007361805,-0.012462301,39.5,73.5
-148.824621,68.68325189,0.174152782,0.022690191,656.9233996,657.0975523,2018.789165,2020.260941,1.471775441,537.1980359,0.022570328,0.002329185,-0.021780809,0.004160319,97.5,115.5
-148.8650473,68.8053517,0.420973492,0.064028224,460.2391274,460.6601009,2018.789165,2020.260941,1.47177532,537.1979917,0.063962587,0.002898429,-0.02501762,0.021984635,21.5,96.5
-149.0838539,69.44758162,0.203386924,0.039503916,193.5570492,193.7604361,2018.789166,2020.350929,1.561763577,570.0437056,0.03935987,0.00337046,-0.015154881,0.007955325,36,111
-148.8245916,68.68316182,-0.326798808,0.025485367,657.1293685,656.8025697,2018.789165,2020.509081,1.719915567,627.769182,0.011440601,0.022773154,-0.020422559,0.003430419,97.5,63
-148.8650231,68.80527913,-0.096192088,0.100128219,460.4644462,460.3682541,2018.789165,2020.509081,1.719915446,627.7691378,0.088911412,0.046048028,-0.028031546,0.031360454,21,109
-149.0836952,69.44713028,-0.269644436,0.035246448,193.85987,193.5902256,2018.789166,2020.599069,1.809903651,660.6148327,0.009009542,0.034075508,-0.010597933,0.005541919,32,92.5
-148.8245168,68.68293193,-0.170752202,0.040457655,657.5825542,657.411802,2018.789165,2020.757221,1.968055655,718.3403142,0.025493934,0.031414665,-0.014445574,0.002728442,97.5,15
-148.8649978,68.80520311,0.317565668,0.044213031,460.7524738,461.0700394,2018.789165,2020.757221,1.968055534,718.3402699,0.039975752,0.018887333,-0.022984076,0.022355748,21,20
-148.8660994,68.80853415,-0.500739568,0.131591218,455.8339074,455.3331678,2018.789165,2020.757221,1.968055542,718.3402727,0.118024696,0.058192953,0.005193903,-0.026632336,20,47.5
-149.0837763,69.44736024,0.309819684,0.028365606,193.704576,194.0143957,2018.789166,2020.84721,2.058043831,751.1859983,0.018332319,0.021645639,0.003394468,-0.010421825,35.5,45
-149.0806345,69.44396006,0.041608232,0.016768042,196.0337008,196.075309,2018.789166,2018.858971,0.069805405,25.47897283,0.011731801,0.011980488,0.007740366,-0.008660085,175,99.5
-149.0816269,69.44681365,0.133068778,0.012727512,195.1155869,195.2486557,2018.789166,2018.858971,0.069805413,25.47897581,0.012039654,0.004127505,-0.010220367,0.00593789,142.5,352.5
-149.1225293,69.56346753,0.190478133,0.010689898,225.1317505,225.3222286,2018.789166,2018.858971,0.069805286,25.47892952,0.010147309,0.003362448,0.029080892,-0.02574263,106.5,100.5
-148.7880106,68.57752536,0.451322187,0.021319892,846.8583002,847.3096224,2018.789165,2019.017556,0.228390587,83.36256432,0.019582132,0.00843077,-0.04683256,0.019126393,343.5,110
-149.0828812,69.45039371,0.219058971,0.02131226,191.4642564,191.6833154,2018.789166,2019.356611,0.567445046,207.1174419,0.013300341,0.016652728,-0.005784961,-0.002968252,113.5,96
-148.9944042,69.19444697,0.244402547,0.050478845,428.7129017,428.9573042,2018.789166,2019.435903,0.646737471,236.059177,0.041763124,0.028354105,0.008218483,-0.01264748,81,65.5
-148.9955646,69.19788537,0.106764569,0.020128076,444.1191532,444.2259178,2018.789166,2019.435903,0.646737479,236.0591797,0.006770598,0.01895517,0.01946385,-0.023370194,89.5,16.5
-149.0828336,69.45025666,-0.039019029,0.002701566,191.5336682,191.4946491,2018.789166,2019.854251,1.065085072,388.7560514,6.59E-05,0.002700762,-0.008137499,0.001070354,110.5,99
-149.0840242,69.45368616,0.049225531,0.017002285,191.4835351,191.5327606,2018.789166,2019.854251,1.06508508,388.7560541,0.015762185,0.006374262,-0.003811732,-0.001310386,79.5,374
-148.9136355,68.95640806,0.102844533,0.11056379,447.2410478,447.3438923,2018.789166,2019.933543,1.144377828,417.6979073,0.060908142,0.092274319,0.037149587,-0.025552077,27,21.5
-148.9943391,69.19426064,0.281968258,0.058110899,428.5425625,428.8245308,2018.789166,2019.933543,1.144377581,417.6978171,0.046520171,0.034824565,0.006031807,-0.013792748,77.5,25.5
-148.9955117,69.19772849,0.158023163,0.010131521,443.6867945,443.8448177,2018.789166,2019.933543,1.144377589,417.6978198,0.00332598,0.009570035,0.028070065,-0.028974771,95.5,133
-148.7847744,68.56760712,0.225941209,0.013291813,893.5673529,893.7932941,2018.789165,2020.012801,1.223635434,446.6269334,0.01142408,0.006794312,0.014366745,-0.043267104,276,478
-149.0119781,69.24572992,0.259133322,0.02807521,304.7344666,304.9935999,2018.789166,2020.033175,1.244009203,454.0633592,0.025393595,0.011974253,-0.00434062,-0.008564938,52.5,96
-149.012209,69.24641027,0.282114338,0.023469462,304.5553358,304.8374502,2018.789166,2020.033175,1.244009214,454.0633632,0.022763212,0.005714179,0.000365785,-0.002468284,49.5,337.5
-149.082912,69.45048262,0.156446403,0.016840712,191.5102708,191.6667172,2018.789166,2020.102789,1.313623302,479.4725053,0.01533297,0.006964885,0.001235231,-0.005613731,113.5,124.5
-149.0841073,69.45392334,0.268506018,0.029046173,191.4039664,191.6724724,2018.789166,2020.102789,1.31362331,479.472508,0.029028725,0.001006596,0.001107945,-0.001054091,74.5,391.5
